id,primary_name,names_sindarin,names_quenya,names_other_languages,race,ancestors,descendants,spouse,alliances,origin_country,birth_place,birth_time,age,death_place,death_time,death_mode,titles,occupations,battles,era,sources
98,Hirluin the Fair,"","","","Man","—","—","—","Gondor (Pinnath Gelin)","Gondor","Pinnath Gelin","T.A.","—","Pelennor Fields","T.A. 3019","slain","Lord","Lord","Battle of the Pelennor Fields","Third Age","LOTR"
99,Duinhir,"","","","Man","—","Duilin; Derufin","—","Gondor (Blackroot Vale)","Gondor","Blackroot Vale","T.A.","—","Pelennor Fields","T.A. 3019","survived","Lord","Archer","Battle of the Pelennor Fields","Third Age","LOTR"
100,Duilin,"","","","Man","Duinhir","—","—","Gondor (Blackroot Vale)","Gondor","Blackroot Vale","T.A.","—","Pelennor Fields","T.A. 3019","slain","Archer","Archer","Battle of the Pelennor Fields","Third Age","LOTR"
101,Derufin,"","","","Man","Duinhir","—","—","Gondor (Blackroot Vale)","Gondor","Blackroot Vale","T.A.","—","Pelennor Fields","T.A. 3019","slain","Archer","Archer","Battle of the Pelennor Fields","Third Age","LOTR"
102,Imrahil,"Prince Imrahil","","","Man (Dúnedain of Gondor)","Adrahil II","Elphir; Erchirion; Amrothos","—","Gondor (Dol Amroth)","Gondor","Dol Amroth","T.A. 2955",—,"Dol Amroth","Fourth Age","natural causes","Prince of Dol Amroth","Lord; Captain","Battle of the Pelennor Fields; Battle of the Morannon","Third/Fourth Age","LOTR; Appendices"
103,Elphir,"","","","Man","Imrahil","—","—","Gondor (Dol Amroth)","Gondor","Dol Amroth","T.A.","—","Dol Amroth","Fourth Age","natural causes","Prince of Dol Amroth","Lord","—","Fourth Age","Appendices"
104,Erchirion,"","","","Man","Imrahil","—","—","Gondor (Dol Amroth)","Gondor","Dol Amroth","T.A.","—","Dol Amroth","Fourth Age","natural causes","Lord","Captain","War of the Ring","Third/Fourth Age","Appendices"
105,Amrothos,"","","","Man","Imrahil","—","—","Gondor (Dol Amroth)","Gondor","Dol Amroth","T.A.","—","Dol Amroth","Fourth Age","natural causes","Lord","Captain","War of the Ring","Third/Fourth Age","Appendices"
106,Beregond,"","","","Man","—","Bergil","—","Gondor","Gondor","Minas Tirith","T.A.","—","Ithilien","Fourth Age","natural causes","Captain of the Guard of Faramir","Guard","Battle of the Pelennor Fields","Third/Fourth Age","LOTR"
107,Bergil,"","","","Man","Beregond","—","—","Gondor","Gondor","Minas Tirith","T.A.","—","Gondor","Fourth Age","natural causes","—","Page","War of the Ring (indirect)","Third/Fourth Age","LOTR"
108,Háma,"","","","Man (Rohirrim)","—","—","—","Rohan","Rohan","Edoras","T.A.","—","Helm's Deep","T.A. 3019","slain","Doorward of Théoden","Guard","Battle of Helm's Deep","Third Age","LOTR"
109,Éothain,"","","","Man (Rohirrim)","—","—","—","Rohan","Rohan","Rohan","T.A.","—","Rohan","T.A.","unknown","Rider","Rider","War of the Ring","Third Age","LOTR"
110,Gamling,"","","","Man (Rohirrim)","—","—","—","Rohan","Rohan","Rohan","T.A.","—","Rohan","Fourth Age","natural causes","Captain","Warrior","Battle of Helm's Deep","Third/Fourth Age","LOTR"
111,Elfhelm,"","","","Man (Rohirrim)","—","—","—","Rohan","Rohan","Rohan","T.A.","—","Rohan","Fourth Age","natural causes","Marshal of the Mark","Marshal","Battle of the Pelennor Fields","Third/Fourth Age","LOTR"
112,Grimbold,"","","","Man (Rohirrim)","—","—","—","Rohan","Rohan","Westfold","T.A.","—","Pelennor Fields","T.A. 3019","slain","Captain","Captain","Battle of the Pelennor Fields","Third Age","LOTR"
